x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature
30,30,-0.4208478,-4.14299965,-0.41034743,-4.13376331,0.99735826,3,0.00068865,49
32,30,-0.41938421,-4.14488506,-0.40942791,-4.13507938,0.99750829,3,0.00052821,49
34,30,-0.42081627,-4.14676189,-0.40744767,-4.13732481,0.99757981,4,0.00019529,45
36,30,-0.4195722,-4.14821148,-0.40446404,-4.14100027,0.99754077,3,0.0005553,42
38,30,-0.4227519,-4.14944744,-0.4007163,-4.14612293,0.99743617,3,0.000732,41
40,30,-0.42058834,-4.14766788,-0.40133274,-4.15556955,0.99723005,3,0.00075997,47
42,30,-0.42149347,-4.14555168,-0.40486291,-4.15213585,0.99711651,3,0.00071332,48
44,30,-0.4217402,-4.14456654,-0.40626326,-4.15523672,0.99703246,3,0.00070813,48
46,30,-0.42468902,-4.14530373,-0.40771508,-4.15741444,0.99711257,4,0.00021913,51
48,30,-0.42474535,-4.14543533,-0.41342738,-4.14713812,0.99726552,3,0.0007203,50
50,30,-0.42803165,-4.13937616,-0.41476128,-4.14834309,0.99734795,3,0.00077273,53
52,30,-0.42530391,-4.14101982,-0.41257653,-4.14845085,0.99736327,3,0.00070386,49
54,30,-0.42410299,-4.14140129,-0.41224736,-4.14952517,0.99738848,3,0.00084038,49
56,30,-0.42297807,-4.14482737,-0.4130798,-4.15020323,0.99736691,4,0.00027265,50
58,30,-0.42559114,-4.14423037,-0.42352608,-4.15186739,0.99738449,3,0.00065663,51
60,30,-0.42252651,-4.14525938,-0.41899988,-4.14950418,0.99733305,3,0.00057912,49
62,30,-0.42421648,-4.15170622,-0.41873085,-4.15356207,0.99743074,3,0.00089631,52
64,30,-0.42429766,-4.15371561,-0.41619632,-4.15218878,0.99736279,3,0.00030871,55
66,30,-0.42342469,-4.15865564,-0.41614738,-4.15301609,0.99720687,3,0.00045072,56
68,30,-0.42571747,-4.16035461,-0.42105609,-4.15102911,0.99709588,3,0.00065284,54
70,30,-0.42395183,-4.15809202,-0.42081082,-4.15779972,0.99715805,3,0.00062394,52
72,30,-0.42279544,-4.15841103,-0.42077401,-4.15907288,0.99706852,3,0.00050637,55
74,30,-0.42549866,-4.1628418,-0.42156363,-4.15872097,0.99723464,3,0.00084946,56
76,30,-0.42773283,-4.16454649,-0.42167419,-4.15953159,0.99711758,3,0.0005785,53
78,30,-0.42791879,-4.1627903,-0.42255819,-4.16102505,0.99707568,3,0.00044841,53
80,30,-0.42680681,-4.1618247,-0.4218871,-4.15788794,0.99702674,3,0.00056981,55
82,30,-0.4302671,-4.16026592,-0.42391151,-4.1559124,0.99702275,3,0.00061211,58
84,30,-0.42590949,-4.16131878,-0.42169154,-4.15856075,0.99695015,3,0.0007923,54
86,30,-0.42803124,-4.16287947,-0.4247635,-4.15469217,0.99694484,3,0.0004019,55
88,30,-0.42762882,-4.16143131,-0.42600855,-4.15532112,0.99691248,3,0.00030075,56
90,30,-0.4270066,-4.16270018,-0.42911842,-4.15885687,0.99695629,3,0.00041053,54
92,30,-0.42871344,-4.16635656,-0.43038914,-4.15585232,0.99689645,3,0.00046763,55
94,30,-0.43082818,-4.16911793,-0.43109152,-4.15432835,0.99699378,3,0.00057761,58
96,30,-0.42808467,-4.16883564,-0.43052176,-4.15484905,0.9969486,3,0.00052182,60
98,30,-0.42929289,-4.16700125,-0.43257335,-4.15608549,0.99692053,3,0.00056536,60
100,30,-0.43185535,-4.16593361,-0.43258113,-4.15960312,0.99675262,3,0.00045715,63
102,30,-0.43540052,-4.16618633,-0.4357022,-4.15925264,0.99680573,3,0.00041054,65
