x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy,subset_rx,subset_ry,
50.00000000,50.00000000,15.00028706,17.99881554,14.99724102,18.11083603,0.99921525,3.00000000,0.00015520,13.00000000,0.30014825,-0.08996892,0.00004471,30.00000000,30.00000000,
55.00000000,50.00000000,16.50116539,17.99905014,16.37038422,18.13253212,0.99920696,3.00000000,0.00005760,13.00000000,0.30012417,-0.08996671,0.00003069,30.00000000,30.00000000,
60.00000000,50.00000000,18.00276184,17.99882126,17.99200821,18.16028595,0.99920666,3.00000000,0.00003962,13.00000000,0.30009088,-0.08997471,0.00002737,30.00000000,30.00000000,
65.00000000,50.00000000,19.50313377,17.99970055,19.50234222,18.13094139,0.99917907,3.00000000,0.00005414,13.00000000,0.30006501,-0.08997997,0.00002808,30.00000000,30.00000000,
70.00000000,50.00000000,21.00282860,17.99814415,20.99203873,18.09726906,0.99918813,3.00000000,0.00003273,13.00000000,0.30005237,-0.08997986,0.00002126,30.00000000,30.00000000,
75.00000000,50.00000000,22.50409698,17.99780464,22.47669601,18.09471321,0.99918967,3.00000000,0.00002331,13.00000000,0.30002570,-0.08997185,0.00001591,30.00000000,30.00000000,
80.00000000,50.00000000,24.00324440,17.99812889,23.93996239,18.18805885,0.99917364,3.00000000,0.00004270,13.00000000,0.30001062,-0.08995382,0.00000598,30.00000000,30.00000000,
85.00000000,50.00000000,25.50335121,17.99902725,25.40242195,18.18346024,0.99920768,3.00000000,0.00011627,14.00000000,0.29998779,-0.08993445,0.00000337,30.00000000,30.00000000,
90.00000000,50.00000000,27.00457382,17.99936676,26.95073700,18.15503502,0.99921787,3.00000000,0.00002431,14.00000000,0.29997036,-0.08989973,-0.00000429,30.00000000,30.00000000,
95.00000000,50.00000000,28.50404930,17.99971962,28.45794487,18.16110039,0.99919045,3.00000000,0.00004770,14.00000000,0.29995954,-0.08987615,-0.00002280,30.00000000,30.00000000,
