x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
420,250,0.99843061,299.0835266,151.8782044,-46.67252731,-41.10329437,658.5255737
425,250,0.99859267,304.6641846,152.0462952,-46.35800934,-41.09943771,658.4407959
430,250,0.99866629,310.254364,152.2645721,-46.04339981,-41.09400177,658.3544922
435,250,0.99851745,315.8112793,152.512085,-45.7291832,-41.08798981,658.2730103
440,250,0.99769026,321.3652954,152.8154297,-45.41498947,-41.08035278,658.1917114
445,250,0.99680847,326.9960327,152.9666138,-45.10019684,-41.07644653,658.0982056
450,250,0.99785489,332.4629822,153.2000732,-44.78712082,-41.07160187,658.0292358
455,250,0.99853033,337.9309998,153.3927765,-44.47406769,-41.06793594,657.9598999
460,250,0.99869674,343.3890686,153.643692,-44.16111374,-41.0626297,657.8918457
465,250,0.99860561,348.9755859,153.8451233,-43.8469696,-41.05757523,657.803894
470,250,0.99823982,354.5449219,154.0564423,-43.53300476,-41.05237579,657.7183228
475,250,0.99808276,360.1126709,154.3082581,-43.21911621,-41.04596329,657.6326904
480,250,0.99813855,365.6497498,154.5134583,-42.90563965,-41.04119873,657.5513306
485,250,0.99802083,371.1385193,154.6994629,-42.59268951,-41.03739166,657.4768677
490,250,0.99820817,376.6445313,154.9024658,-42.27960205,-41.03293991,657.3997803
495,250,0.99831867,382.1630554,155.1575623,-41.96638107,-41.02680969,657.3204346
500,250,0.99817753,387.6682434,155.3366394,-41.65345383,-41.02301407,657.2426758
505,250,0.9982577,393.154419,155.5389557,-41.34074402,-41.01869202,657.1674805
510,250,0.99764776,398.7189331,155.7806091,-41.02726364,-41.0124588,657.0802612
515,250,0.99746883,404.2056274,155.9476929,-40.71466064,-41.00914764,657.0045776
520,250,0.99807,409.6596375,156.1859741,-40.40233231,-41.00399399,656.9334106
525,250,0.99843967,415.2163696,156.4091797,-40.08917236,-40.99831772,656.8462524
530,250,0.99846137,420.7623901,156.6368103,-39.77611542,-40.99258804,656.7605591
535,250,0.99839073,426.2878723,156.8714294,-39.46332169,-40.98682022,656.6776733
540,250,0.99841696,431.7427063,157.0688629,-39.15121841,-40.98281097,656.6054077
545,250,0.99820936,437.2030335,157.2981567,-38.83914185,-40.97775269,656.5317383
550,250,0.99823749,442.6874085,157.5176697,-38.52689362,-40.97274017,656.4540405
555,250,0.99822444,448.2185974,157.7095947,-38.21426392,-40.96812439,656.3692627
560,250,0.99861425,453.7674866,157.9394226,-37.90160751,-40.96216583,656.281189
565,250,0.99863374,459.1739197,158.1413422,-37.59019089,-40.95834732,656.2145386
570,250,0.99837983,464.6513977,158.378479,-37.27817535,-40.95281219,656.1368408
575,250,0.99855411,470.1693115,158.5523682,-36.96595383,-40.94874573,656.0526733
580,250,0.99824792,475.6557312,158.7704773,-36.6540451,-40.94363403,655.9729614
585,250,0.99845946,481.1032715,158.970459,-36.34250259,-40.93941116,655.8988648
590,250,0.99812269,486.5584106,159.1499023,-36.03097534,-40.93568802,655.8233032
595,250,0.99794656,492.1117859,159.4073792,-35.71861267,-40.9287529,655.7327271
600,250,0.99820805,497.5747376,159.636322,-35.40708923,-40.92346573,655.6553345
605,250,0.99832696,503.0220337,159.8536987,-35.09574127,-40.91863632,655.5801392
610,250,0.99841583,508.4867554,160.0783081,-34.78431702,-40.91342926,655.5019531
615,250,0.99831849,513.9121704,160.3077698,-34.47327042,-40.90840912,655.4294434
620,250,0.99841416,519.4215088,160.4934387,-34.16160202,-40.9038887,655.3439331
625,250,0.99855208,524.8983765,160.7059174,-33.8502655,-40.89884949,655.2630005
630,250,0.99836838,530.3735352,160.953949,-33.53900909,-40.89275742,655.1820068
635,250,0.99825275,535.8384399,161.1604004,-33.22787094,-40.88797379,655.102356
640,250,0.99817979,541.251709,161.3564301,-32.91721725,-40.88394928,655.0300903
645,250,0.99771374,546.7967529,161.5885315,-32.60557175,-40.87761688,654.937561
