x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
30,30,-0.41521394,-4.13914776,0,-4,0.99734634,4,0.00056634,0,-0.00046751,0.00297127,-0.00030177
32,30,-0.41526294,-4.14048004,0,-4,0.99749905,4,0.0005515,0,-0.00040724,0.00297606,-0.00031353
34,30,-0.41732633,-4.14183903,0,-4,0.99756569,4,0.00058366,0,-0.00039914,0.00297486,-0.00032763
36,30,-0.41657761,-4.14201021,0,-4,0.997531,4,0.00065782,0,-0.00038642,0.00295774,-0.00033584
38,30,-0.41610798,-4.14340401,0,-4,0.99742693,4,0.00052667,0,-0.00037196,0.00293834,-0.00034131
40,30,-0.41986266,-4.14532709,0,-4,0.99722654,4,0.00051615,0,-0.00035172,0.00292493,-0.00036246
42,30,-0.421334,-4.1471715,0,-4,0.99710989,4,0.00056193,0,-0.00033679,0.00291117,-0.00038608
44,30,-0.42125395,-4.14732885,0,-4,0.99702489,4,0.00044738,0,-0.00031971,0.00288684,-0.00040497
46,30,-0.42005566,-4.14658022,0,-4,0.99710715,4,0.00067309,0,-0.00030123,0.00286425,-0.00042549
48,30,-0.42078593,-4.14607716,0,-4,0.99724931,4,0.00042815,0,-0.0002852,0.00284189,-0.00044709
50,30,-0.41851273,-4.14922237,0,-4,0.9973231,4,0.00037945,0,-0.00026423,0.002817,-0.00047557
52,30,-0.42161101,-4.14998674,0,-4,0.99734396,4,0.00035471,0,-0.0002416,0.00279766,-0.00049802
54,30,-0.42217177,-4.14971828,0,-4,0.99737406,4,0.00050065,0,-0.00021635,0.00278108,-0.00051813
56,30,-0.42163247,-4.14922142,0,-4,0.99735886,4,0.00065167,0,-0.00019027,0.00276087,-0.00052238
58,30,-0.42061651,-4.15146112,0,-4,0.99737298,4,0.00042263,0,-0.00015316,0.00274124,-0.00051968
60,30,-0.42170477,-4.15311241,0,-4,0.99732494,4,0.00051818,0,-0.00013944,0.00273071,-0.00052614
62,30,-0.42119429,-4.15312052,0,-4,0.99742132,4,0.00046256,0,-0.00013772,0.00272097,-0.00053427
64,30,-0.42183289,-4.15437555,0,-4,0.99735695,4,0.0005684,0,-0.00012097,0.00270937,-0.00054568
66,30,-0.42237923,-4.15457439,0,-4,0.9971981,4,0.00050407,0,-0.0001121,0.00271072,-0.00054256
68,30,-0.42140177,-4.156003,0,-4,0.9970907,4,0.00059039,0,-0.00010977,0.00271714,-0.00052687
70,30,-0.42335078,-4.15852404,0,-4,0.99714321,4,0.00072644,0,-0.00009613,0.0027256,-0.00052009
72,30,-0.42281902,-4.15918493,0,-4,0.99705774,4,0.00046716,0,-0.00010129,0.0027289,-0.00050839
74,30,-0.42454377,-4.1586957,0,-4,0.99720842,4,0.00065156,0,-0.00011083,0.00273178,-0.00048361
76,30,-0.42324105,-4.15843725,0,-4,0.99711084,4,0.00072129,0,-0.00012477,0.00273639,-0.00045072
78,30,-0.42405322,-4.16085243,0,-4,0.99706542,4,0.00075803,0,-0.00013906,0.00272977,-0.00041102
80,30,-0.42469984,-4.16180897,0,-4,0.99702311,4,0.0005757,0,-0.0001579,0.00272451,-0.00037514
82,30,-0.42254859,-4.16203165,0,-4,0.99701047,4,0.00067128,0,-0.00017133,0.00272698,-0.00033466
84,30,-0.42608064,-4.16301012,0,-4,0.99694383,4,0.00048854,0,-0.00018037,0.00272288,-0.00029844
86,30,-0.42644227,-4.16289997,0,-4,0.99693632,4,0.00067481,0,-0.00020586,0.00273112,-0.00025822
88,30,-0.42665046,-4.16430521,0,-4,0.99690139,4,0.00050269,0,-0.00020508,0.00273175,-0.00022644
90,30,-0.42829838,-4.16390562,0,-4,0.99695361,4,0.00071923,0,-0.0002171,0.00273143,-0.00020541
92,30,-0.42879102,-4.16318178,0,-4,0.99689239,4,0.00060294,0,-0.00021651,0.00272642,-0.00017663
94,30,-0.42923063,-4.16207552,0,-4,0.99698675,4,0.00076996,0,-0.0002347,0.00272222,-0.00014998
96,30,-0.43062097,-4.16149664,0,-4,0.99693727,4,0.00058097,0,-0.00024572,0.00272344,-0.00011539
98,30,-0.4315764,-4.1621933,0,-4,0.99691093,4,0.00073029,0,-0.00024945,0.00270677,-0.00008526
100,30,-0.43235782,-4.16269445,0,-4,0.99674851,4,0.00048819,0,-0.00025228,0.0026989,-0.00005971
102,30,-0.43250483,-4.1624918,0,-4,0.9968031,4,0.00073306,0,-0.00023168,0.00269796,-0.00002737
104,30,-0.43521228,-4.16217041,0,-4,0.9968344,4,0.00060968,0,-0.0002246,0.00268451,0.00000272
106,30,-0.43319517,-4.16122007,0,-4,0.99690169,4,0.00067161,0,-0.00023924,0.00268385,0.00003597
108,30,-0.43426654,-4.1636095,0,-4,0.99687326,4,0.00052561,0,-0.00024405,0.0026706,0.00006692
110,30,-0.43575412,-4.16330242,0,-4,0.99693114,4,0.00053667,0,-0.00025409,0.00265282,0.0000864
112,30,-0.43740395,-4.162889,0,-4,0.99692822,4,0.0006939,0,-0.00025707,0.00264314,0.00011051
114,30,-0.43806225,-4.16355944,0,-4,0.99693251,4,0.0006096,0,-0.00026926,0.00264737,0.00013892
116,30,-0.43927851,-4.16146326,0,-4,0.99690366,4,0.00064194,0,-0.00027981,0.0026543,0.00016373
118,30,-0.43816876,-4.16157103,0,-4,0.99693692,4,0.00065248,0,-0.00028956,0.00266784,0.00018224
120,30,-0.43989831,-4.16276598,0,-4,0.99696404,4,0.00074646,0,-0.00031417,0.00268711,0.00020398
122,30,-0.44100133,-4.16030931,0,-4,0.99693841,4,0.0005455,0,-0.00032785,0.00269034,0.00021832
124,30,-0.44434041,-4.16193295,0,-4,0.9969002,4,0.00047977,0,-0.00034147,0.00269392,0.00021821
126,30,-0.44335762,-4.16181326,0,-4,0.99702865,4,0.00051305,0,-0.00032665,0.00269081,0.00022018
128,30,-0.44234583,-4.16198254,0,-4,0.99705172,4,0.00046328,0,-0.00031201,0.00267266,0.00021109
130,30,-0.44331643,-4.16327333,0,-4,0.99698579,4,0.0007801,0,-0.00030383,0.00266768,0.00020705
132,30,-0.44473922,-4.16341972,0,-4,0.99706626,4,0.00059582,0,-0.00031581,0.00266022,0.00020682
134,30,-0.4444558,-4.16318274,0,-4,0.99700922,4,0.00068493,0,-0.00032484,0.00264618,0.00020375
136,30,-0.44500187,-4.16308165,0,-4,0.99695224,4,0.00039214,0,-0.00034106,0.00264458,0.00020395
138,30,-0.44804543,-4.16488647,0,-4,0.99693406,4,0.00038915,0,-0.00034144,0.00262756,0.00020685
140,30,-0.44817328,-4.16267967,0,-4,0.99692273,4,0.00045737,0,-0.00035124,0.00260173,0.00020967
142,30,-0.44638616,-4.16311264,0,-4,0.99705333,4,0.00080735,0,-0.00035383,0.00259713,0.00021362
144,30,-0.44500074,-4.16328001,0,-4,0.99687481,4,0.00052035,0,-0.00037294,0.00259133,0.00020863
146,30,-0.44576922,-4.16260147,0,-4,0.99676758,4,0.0005571,0,-0.00039625,0.00258766,0.0002092
148,30,-0.44754654,-4.16387415,0,-4,0.99660498,4,0.00066286,0,-0.00039849,0.00258321,0.00021541
150,30,-0.45098531,-4.16360188,0,-4,0.99652952,4,0.00067213,0,-0.00040744,0.00256914,0.00022241
152,30,-0.45001075,-4.16427231,0,-4,0.99641055,4,0.00053431,0,-0.00041221,0.00255813,0.00022606
