x,y,u,ux,uy,v,vx,vy
30,30,-0.41521394,-0.00016886,0.00020004,-4.13914776,-0.00065022,0.00256395
32,30,-0.41526294,-0.00016755,0.0000174,-4.14048004,-0.00087438,0.00252748
34,30,-0.41732633,-0.0008651,-0.00005567,-4.14183903,-0.00074693,0.00254345
36,30,-0.41657761,0.00014162,0.00018542,-4.14201021,-0.00089181,0.0025773
38,30,-0.41610798,-0.00033796,0.00012985,-4.14340401,-0.00029163,0.00257063
40,30,-0.41986266,-0.00068754,0.00027073,-4.14532709,-0.00020748,0.0026356
42,30,-0.421334,-0.0000875,0.00003612,-4.1471715,0.00009589,0.00272274
44,30,-0.42125395,-0.00014597,0.00007995,-4.14732885,0.00008242,0.00269401
46,30,-0.42005566,0.00005305,-0.00005067,-4.14658022,-0.00001115,0.00262988
48,30,-0.42078593,-0.00004548,-0.00029495,-4.14607716,-0.00010819,0.00255823
50,30,-0.41851273,-0.00036466,-0.00030905,-4.14922237,0.00001492,0.00243795
52,30,-0.42161101,0.00009191,-0.0002535,-4.14998674,-0.00011483,0.00244963
54,30,-0.42217177,0.00016701,-0.00028017,-4.14971828,-0.00035334,0.0022794
56,30,-0.42163247,0.00000477,-0.0003047,-4.14922142,-0.00048307,0.0022136
58,30,-0.42061651,-0.00048435,-0.00051962,-4.15146112,-0.00088989,0.00218952
60,30,-0.42170477,-0.00032312,-0.00039435,-4.15311241,-0.00080013,0.00205624
62,30,-0.42119429,-0.00027353,-0.00042698,-4.15312052,-0.00078275,0.0020988
64,30,-0.42183289,0.00012696,-0.00055751,-4.15437555,-0.00083977,0.0020498
66,30,-0.42237923,-0.00014156,-0.00046851,-4.15457439,-0.00065087,0.00206923
68,30,-0.42140177,-0.00020689,-0.00070512,-4.156003,-0.00062359,0.00217915
70,30,-0.42335078,0.00008905,-0.00050174,-4.15852404,-0.00064977,0.0024159
72,30,-0.42281902,-0.00004774,-0.000312,-4.15918493,-0.00035271,0.00248253
74,30,-0.42454377,-0.00059122,-0.00067652,-4.1586957,-0.00016176,0.00246072
76,30,-0.42324105,-0.00024408,-0.00068129,-4.15843725,-0.00029488,0.00244319
78,30,-0.42405322,-0.00036746,-0.00054729,-4.16085243,-0.0001188,0.0024066
80,30,-0.42469984,-0.00038344,-0.00028206,-4.16180897,-0.00001348,0.0024817
82,30,-0.42254859,-0.00026572,-0.00016024,-4.16203165,-0.00018271,0.00263774
84,30,-0.42608064,-0.00001669,-0.00019605,-4.16301012,-0.00029547,0.00299001
86,30,-0.42644227,-0.00013179,-0.0001945,-4.16289997,-0.00019897,0.00286055
88,30,-0.42665046,-0.00030863,-0.0002415,-4.16430521,-0.00018552,0.00290346
90,30,-0.42829838,-0.00048608,-0.00024582,-4.16390562,-0.00021482,0.00274026
92,30,-0.42879102,-0.00030845,-0.00023374,-4.16318178,-0.00032371,0.00292587
94,30,-0.42923063,-0.00042623,-0.00007781,-4.16207552,-0.00004431,0.0030539
96,30,-0.43062097,-0.00055069,-0.00015376,-4.16149664,0.00008598,0.00303769
98,30,-0.4315764,-0.00064003,-0.00013564,-4.1621933,0.00008521,0.00287533
100,30,-0.43235782,-0.00071627,0.00009335,-4.16269445,0.00003038,0.0028336
102,30,-0.43250483,-0.00044596,0.00001377,-4.1624918,0.00022448,0.0027318
104,30,-0.43521228,-0.00031435,-0.00000806,-4.16217041,0.0002177,0.0027082
106,30,-0.43319517,-0.00041837,-0.00006226,-4.16122007,0.00014699,0.00280154
108,30,-0.43426654,-0.00057948,0.00002083,-4.1636095,0.00030242,0.00259721
110,30,-0.43575412,-0.00061864,0.00012534,-4.16330242,0.00020555,0.00282919
