x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy,subset_rx,subset_ry,
50.00000000,50.00000000,15.00047493,17.99904251,14.99723911,18.11083031,0.99919337,3.00000000,0.00002064,13.00000000,0.30003652,-0.08997837,0.00005652,43.00000000,41.00000000,
55.00000000,50.00000000,16.50117874,17.99922943,16.37038231,18.13253403,0.99919933,3.00000000,0.00004948,13.00000000,0.29999557,-0.08997887,0.00003968,48.00000000,41.00000000,
60.00000000,50.00000000,18.00241852,18.00014877,17.99201584,18.16028786,0.99920684,3.00000000,0.00003475,13.00000000,0.29998004,-0.08998647,0.00002663,44.00000000,41.00000000,
65.00000000,50.00000000,19.50151443,17.99911308,19.50234222,18.13093948,0.99919349,3.00000000,0.00002418,13.00000000,0.29997784,-0.08999389,0.00002187,49.00000000,33.00000000,
70.00000000,50.00000000,21.00170898,17.99892235,20.99203491,18.09726906,0.99919921,3.00000000,0.00002716,13.00000000,0.29998240,-0.08999433,0.00001380,46.00000000,33.00000000,
75.00000000,50.00000000,22.50152969,17.99937820,22.47669411,18.09471512,0.99917859,3.00000000,0.00002933,13.00000000,0.29996946,-0.09000045,-0.00000083,50.00000000,29.00000000,
80.00000000,50.00000000,24.00300407,17.99939728,23.93996048,18.18805695,0.99917161,3.00000000,0.00004630,13.00000000,0.29998502,-0.08999277,-0.00001035,50.00000000,29.00000000,
85.00000000,50.00000000,25.50246239,18.00029182,25.40241814,18.18345642,0.99915469,3.00000000,0.00006524,14.00000000,0.30000201,-0.08997118,-0.00001216,50.00000000,29.00000000,
90.00000000,50.00000000,27.00247002,17.99920845,26.95073700,18.15503693,0.99915671,3.00000000,0.00010025,14.00000000,0.29999945,-0.08996417,-0.00001764,45.00000000,29.00000000,
95.00000000,50.00000000,28.50177383,17.99941635,28.45794868,18.16110039,0.99917573,3.00000000,0.00010159,14.00000000,0.30002153,-0.08994937,-0.00003263,40.00000000,29.00000000,
100.00000000,50.00000000,30.00311089,17.99923897,29.92196655,18.15777779,0.99917006,3.00000000,0.00007680,14.00000000,0.30003887,-0.08992645,-0.00003985,35.00000000,29.00000000,
105.00000000,50.00000000,31.50253105,17.99950790,31.33744431,18.16585732,0.99914998,3.00000000,0.00007729,13.00000000,0.30001932,-0.08991320,-0.00003567,34.00000000,36.00000000,
110.00000000,50.00000000,33.00196075,18.00045013,32.73243332,18.10441971,0.99914593,3.00000000,0.00035970,13.00000000,0.30000976,-0.08989996,-0.00002671,25.00000000,36.00000000,
115.00000000,50.00000000,34.50341797,17.99890518,34.32473755,18.15685844,0.99912691,3.00000000,0.00006776,14.00000000,0.30000672,-0.08991409,-0.00002159,35.00000000,29.00000000,
