x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
420,250,0.99843061,299.0835571,151.8782044,-46.67252731,-41.10329437,658.5255737
425,250,0.99859273,304.6642151,152.0462799,-46.35800934,-41.09944534,658.4407959
430,250,0.99866647,310.2544556,152.2645874,-46.04339981,-41.09400177,658.3544922
435,250,0.99851793,315.8112488,152.512146,-45.7291832,-41.08798981,658.2730103
440,250,0.99769026,321.3652954,152.8154297,-45.41498947,-41.08035278,658.1917114
445,250,0.99680823,326.9960022,152.9665833,-45.10020447,-41.07644272,658.0982056
450,250,0.99785465,332.4629822,153.2000427,-44.78711319,-41.07160568,658.0292358
455,250,0.99853027,337.9310303,153.3927612,-44.47406769,-41.06793594,657.9598999
460,250,0.9986968,343.3890991,153.643692,-44.16111374,-41.0626297,657.8918457
465,250,0.99860567,348.9756775,153.8451538,-43.8469696,-41.0575676,657.803772
470,250,0.99823999,354.5448914,154.0565186,-43.53301239,-41.05237198,657.7183228
475,250,0.99808282,360.1126709,154.3082123,-43.21912384,-41.0459671,657.6326904
480,250,0.99813843,365.6497192,154.5135193,-42.90563202,-41.04119492,657.5513306
485,250,0.99802083,371.1385193,154.6994629,-42.59268951,-41.03739166,657.4768677
490,250,0.99820822,376.6445618,154.9024506,-42.27960205,-41.03293991,657.3997803
495,250,0.99831861,382.1630249,155.1575317,-41.96638107,-41.02680969,657.3204346
500,250,0.99817759,387.6682129,155.336731,-41.65345383,-41.02301025,657.2426758
505,250,0.99825776,393.154419,155.538971,-41.34074783,-41.01869202,657.1674805
510,250,0.99764794,398.7188721,155.7807159,-41.02726364,-41.01245499,657.0802612
515,250,0.99746901,404.2056274,155.9477234,-40.71466064,-41.00914764,657.0045776
520,250,0.99807,409.6596069,156.1859741,-40.40233231,-41.00399399,656.9334106
525,250,0.99843967,415.2163696,156.4091797,-40.08917236,-40.99831772,656.8462524
530,250,0.99846125,420.7623901,156.6368103,-39.77611542,-40.99258804,656.7605591
535,250,0.99839085,426.2877808,156.87146,-39.46332169,-40.98682022,656.6776733
540,250,0.99841702,431.7427368,157.0688171,-39.15125275,-40.98279572,656.6051636
545,250,0.99820924,437.2030335,157.2981567,-38.83914185,-40.97775269,656.5317383
550,250,0.99823725,442.687439,157.5176392,-38.52689362,-40.97274017,656.4540405
555,250,0.99822438,448.2185669,157.7095947,-38.21427917,-40.96811295,656.3691406
560,250,0.99861419,453.7675171,157.9394226,-37.90161514,-40.96215439,656.2811279
565,250,0.99863374,459.1739502,158.1413574,-37.59019089,-40.95834732,656.2145386
570,250,0.99837989,464.6514893,158.3785858,-37.27814102,-40.95282364,656.137085
575,250,0.99855405,470.169342,158.5523377,-36.9659462,-40.94874573,656.0526733
580,250,0.9982478,475.6557007,158.7705231,-36.6540451,-40.94363403,655.9729614
585,250,0.99845952,481.1032715,158.970459,-36.34250259,-40.93941116,655.8988648
590,250,0.99812233,486.5587158,159.1499939,-36.03096008,-40.93569183,655.8233643
595,250,0.99794632,492.1117249,159.4073181,-35.71860504,-40.92876053,655.7327881
600,250,0.99820805,497.5747681,159.6363373,-35.40708923,-40.92346191,655.6553345
605,250,0.99832696,503.0219727,159.8537903,-35.09573364,-40.91863251,655.5801392
610,250,0.99841595,508.4866943,160.0783997,-34.78432465,-40.91342545,655.5019531
615,250,0.99831843,513.9121094,160.3078003,-34.47327805,-40.90841293,655.4295044
620,250,0.9984141,519.4215088,160.4934387,-34.16160202,-40.9038887,655.3439331
625,250,0.99855202,524.8983765,160.7059021,-33.85027695,-40.89884949,655.2630005
630,250,0.99836844,530.3735352,160.9540253,-33.53900909,-40.89275742,655.1820068
635,250,0.99825275,535.8384399,161.1604004,-33.22787094,-40.88797379,655.102356
640,250,0.99817991,541.251709,161.3563995,-32.91721725,-40.88394928,655.0300903
645,250,0.99771369,546.796814,161.5885315,-32.60557175,-40.87761688,654.937561
650,250,0.99826092,552.2211304,161.8408966,-32.2949028,-40.87178802,654.8631592
655,250,0.99807501,557.6223145,162.0127869,-31.98454094,-40.86851883,654.7918701
660,250,0.99802911,563.0012817,162.2713013,-31.67426682,-40.86290359,654.723877
665,250,0.99816555,568.380127,162.4311218,-31.36419296,-40.86014175,654.6551514
670,250,0.99836773,573.9360352,162.6841278,-31.05272865,-40.85300827,654.5597534
675,250,0.99842817,579.380127,162.8819275,-30.74224854,-40.8484993,654.4807739
680,250,0.99837857,584.7506714,163.0700989,-30.43233109,-40.844944,654.4126587
685,250,0.99821979,590.1643677,163.3263855,-30.12210464,-40.83895111,654.3378906
690,250,0.99755538,595.6123047,163.6083069,-29.81169319,-40.8318634,654.2574463
695,250,0.99747396,601.1350098,163.736084,-29.50094032,-40.8286171,654.1653442
700,250,0.9977318,606.5357666,163.9391174,-29.19102669,-40.82425308,654.0914307
705,250,0.99752098,611.9351807,164.1401978,-28.88117981,-40.81994629,654.0175781
710,250,0.99777204,617.4365234,164.3209534,-28.57077408,-40.81524658,653.9275513
715,250,0.99810624,622.8687134,164.5380249,-28.26079559,-40.81012344,653.8481445
720,250,0.99794751,628.2463379,164.8134766,-27.95120239,-40.80374908,653.7766113
725,250,0.99857271,633.6520386,165.0221558,-27.64154243,-40.79908371,653.7006226
730,250,0.9984197,639.0640259,165.2638397,-27.33188629,-40.79334259,653.623169
735,250,0.99835086,644.4509888,165.4300385,-27.02248192,-40.79005814,653.5494385
740,250,0.99824303,649.9221802,165.6364288,-26.71260834,-40.78477478,653.4625855
745,250,0.99821389,655.2885132,165.8370667,-26.40343666,-40.78060913,653.3910523
750,250,0.99842012,660.7119141,166.0258789,-26.09397697,-40.77624893,653.310791
755,250,0.99833256,666.1288452,166.218689,-25.78463745,-40.77180862,653.2311401
760,250,0.99858332,671.5392456,166.4074554,-25.47538567,-40.76753235,653.1523438
765,250,0.99859923,676.9122315,166.678772,-25.16633224,-40.7611351,653.0787354
770,250,0.99855691,682.2927246,166.9120483,-24.8573494,-40.75577927,653.0039063
775,250,0.99790418,687.6379395,167.0825195,-24.54863739,-40.75259018,652.934082
780,250,0.99817359,693.0507202,167.3040161,-24.23959351,-40.74723053,652.8536377
785,250,0.99755299,698.4272461,167.5087433,-23.93084526,-40.74268723,652.7783203
790,250,0.99842656,703.8202515,167.7279816,-23.62203598,-40.73754501,652.7001953
795,250,0.99857974,709.2351685,167.9411621,-23.31314278,-40.73236084,652.6187134
800,250,0.99847305,714.6046143,168.141571,-23.00458908,-40.72794724,652.5436401
805,250,0.99828541,720.003418,168.2847595,-22.69597054,-40.72494888,652.4638672
810,250,0.99820381,725.3691406,168.6060791,-22.38749504,-40.71693802,652.3887329
815,250,0.99808109,730.7407837,168.8317871,-22.07909775,-40.71169662,652.312561
820,250,0.99813294,736.085083,169.0076294,-21.77090836,-40.70817566,652.2402344
825,250,0.99833381,741.4112549,169.1954498,-21.46289253,-40.70444489,652.1703491
830,250,0.99819952,746.7640381,169.4225464,-21.15478706,-40.69926453,652.0960083
835,250,0.99844265,752.142395,169.6691132,-20.84658241,-40.69325638,652.0174561
840,250,0.99838859,757.5095825,169.8888245,-20.53848076,-40.68814087,651.9404907
845,250,0.99811924,762.8552246,170.0467529,-20.23062134,-40.68502808,651.8664551
850,250,0.99802506,768.2327881,170.2614441,-19.92266273,-40.67990875,651.7871094
855,250,0.99796182,773.6235352,170.4766541,-19.61465836,-40.67463684,651.7056885
860,250,0.99792683,778.9498291,170.7007752,-19.30703545,-40.6696701,651.6335449
865,250,0.99775773,784.3167114,170.925705,-18.99924469,-40.66429901,651.5551758
870,250,0.99704671,789.708252,171.0854797,-18.69153023,-40.66060257,651.4726563
875,250,0.99605292,795.065918,171.3162537,-18.38390923,-40.65509415,651.3950806
880,250,0.99649715,800.4042358,171.5542603,-18.07646179,-40.6495285,651.3200073
885,250,0.99595624,805.7136231,171.7977905,-17.76917839,-40.64404297,651.2490845
890,250,0.99679595,811.0997925,172.0665588,-17.46162796,-40.63708496,651.1663818
895,250,0.99684024,816.4191284,172.2012634,-17.15453529,-40.63468933,651.0931397
900,250,0.99730271,821.7346191,172.3823853,-16.84746933,-40.63093567,651.0204468
905,250,0.99739766,827.0935059,172.5812225,-16.54027176,-40.62625122,650.940979
910,250,0.99626815,832.3024292,172.865509,-16.2336483,-40.6203804,650.8838501
915,250,0.9950484,837.4879761,172.9018097,-15.92738533,-40.62206268,650.829834
920,250,0.99071783,842.8892212,173.1298523,-15.62020493,-40.61603546,650.7428589
925,250,0.99604177,848.3815918,173.4840088,-15.31260681,-40.6054306,650.6420898
930,250,0.99772722,853.6928101,173.7335815,-15.00587845,-40.59957123,650.5682983
935,250,0.99835092,858.999939,173.8976746,-14.69928169,-40.59625244,650.494751
940,250,0.99772668,864.3013916,174.0033417,-14.39287186,-40.5946846,650.4215088
945,250,0.99706864,869.6378784,174.3263092,-14.086133,-40.58636856,650.3432617
950,250,0.99561942,875.0844116,174.6271973,-13.77916431,-40.57765198,650.2478027
955,250,0.98728669,880.5754395,174.4416046,-13.47256088,-40.58292007,650.1450195
960,250,0.98894954,885.9344482,174.8626099,-13.16593361,-40.57141113,650.0621948
965,250,0.98869979,891.2061157,175.0449524,-12.85984707,-40.56775284,649.9923706
970,250,0.98266834,896.4782105,175.2092896,-12.55384064,-40.56462097,649.9221191
975,250,0.99304277,901.4912109,175.6474762,-12.24838161,-40.55574036,649.8911743
980,250,0.99110556,906.8082275,175.8134155,-11.94235611,-40.55209732,649.8134766
985,250,0.98527682,912.1376953,175.9815674,-11.63631821,-40.54826736,649.7337647
990,250,0.97816914,917.2822876,176.0269775,-11.33096218,-40.5497551,649.6817627
995,250,0.96145201,922.5906982,176.4574585,-11.0249424,-40.53827286,649.6045532
1000,250,0.9253639,928.2127686,176.1513977,-10.71880913,-40.54572296,649.479126
1005,250,0.91094738,933.0252686,176.7206574,-10.41397572,-40.53469849,649.4771118
1010,250,0.93985105,938.3916626,177.0618591,-10.10804939,-40.52527618,649.3903809
1015,250,0.8789618,944.1263428,176.8565064,-9.80186939,-40.5286293,649.2467651
1020,250,0.60891366,948.2766113,175.4849854,-9.50040436,-40.58128357,649.3434448
1025,250,0.87934178,954.5263672,178.257309,-9.19045544,-40.49145508,649.1230469
1030,250,0.90877354,959.973877,178.7784424,-8.88452339,-40.47583389,649.0227051
1035,250,0.9316144,965.2077026,178.4883423,-8.57983685,-40.48628998,648.9542847
1040,250,0.87728667,970.1431274,178.0439453,-8.27592468,-40.50405121,648.9309082
1045,250,0.9251802,978.7053223,178.4059448,-7.96451139,-40.4642601,648.355896
1050,250,0.93014628,985.4251709,179.3730774,-7.65640259,-40.42356873,648.0613403
1055,250,0.87121743,987.9697876,179.447937,-7.35656118,-40.44799042,648.4009399
1060,250,0.80167711,992.8071289,180.6729736,-7.05156183,-40.41703796,648.392395
1065,250,0.35754162,993.4865723,182.1029205,-6.7530098,-40.41844177,649.0168457
1070,250,0.84373856,1000.81427,180.0483551,-6.44690132,-40.46178818,648.6265869
1075,250,0.92871058,1006.87439,179.8484802,-6.14138651,-40.46171951,648.4299316
1080,250,0.93669343,1011.161377,180.1192627,-5.83797741,-40.4641304,648.50354
1085,250,0.79589081,1016.6922,180.4237671,-5.53290653,-40.4539566,648.3873291
1090,250,0.8405872,1020.955078,180.4934082,-5.22969484,-40.46251297,648.4639282
1095,250,0.40754342,1025.516724,176.4821167,-4.92993498,-40.58958054,648.4918823
1100,250,0.42346191,1035.261597,179.5032654,-4.6178565,-40.45946884,647.7348633
1105,250,0.44227362,1035.731567,178.7346954,-4.31945515,-40.52813339,648.3879395
1110,250,0.74295712,1046.3573,181.2479248,-4.00784874,-40.40491104,647.4955444
1115,250,0.26215106,1048.01416,178.6297913,-3.70966363,-40.51741791,647.9655762
1120,250,0.7185964,1055.602539,184.7357483,-3.39819241,-40.31557465,647.5374146
1125,250,0.78906393,1059.269531,182.6555786,-3.09747076,-40.39340591,647.7016602
1130,250,0.84041935,1063.868774,182.5343018,-2.79420352,-40.40437317,647.7248535
1135,250,0.78099769,1068.355591,181.1659851,-2.49220967,-40.45342636,647.7637329
1140,250,0.5398078,1071.976807,184.8235779,-2.18591881,-40.36101151,647.9376221
1145,250,0.28244251,1083.920044,189.703949,-1.87502754,-40.15510941,646.8421021
1150,250,0.63201571,1087.255005,180.7188721,-1.58054519,-40.44119644,647.0523682
1155,250,0.79673302,1092.251343,182.9923401,-1.2751677,-40.37718964,647.0150147
1160,250,0.983603,1096.743042,183.186615,-0.97192281,-40.37962723,647.0527344
1165,250,0.99827558,1101.952026,183.4368591,-0.66844898,-40.37374115,646.9811401
1170,250,0.99828768,1107.192261,183.6295166,-0.36510774,-40.36924362,646.9043579
